trialNo,trial,RT,press,answer
1,Go,1.155383,1,1
2,Go,0.863409,1,1
3,Go,0.581784,1,1
4,Go,0.480861,1,1
5,Go,0.381219,1,1
6,Go,0.382203,1,1
7,Go,0.364639,1,1
8,Go,0.314954,1,1
9,Go,0.315975,1,1
10,Go,0.314775,1,1
11,Go,0.464942,1,1
12,Go,0.481298,1,1
13,Go,0.531559,1,1
14,Go,0.498424,1,1
15,NoGo,0.849001,1,0
16,NoGo,0.430124,1,0
17,Go,0.632524,1,1
18,Go,0.480792,1,1
19,Go,1.981963,1,1
20,Go,1.196909,1,1
21,NoGo,3.029579,0,1
22,NoGo,3.046104,0,1
23,NoGo,3.079513,0,1
24,Go,0.915169,1,1
25,Go,0.964349,1,1
26,Go,0.631617,1,1
27,Go,0.532081,1,1
28,NoGo,3.046560,0,1
29,Go,3.046406,0,0
30,Go,0.431941,1,1
31,NoGo,1.381106,1,0
32,NoGo,0.415222,1,0
